Link Name,Mass (kg),COM X (m),COM Y (m),COM Z (m),Ixx (kg·m²),Iyy (kg·m²),Izz (kg·m²),Ixy (kg·m²),Ixz (kg·m²),Iyz (kg·m²),Material,Static Friction μ1,Dynamic Friction μ2
base_link,,,,,,,,,,,,,
rear_right_hip_upper (L1A),,,,,,,,,,,,,
rear_right_hip_lower (L1B),,,,,,,,,,,,,
rear_right_tibia (L2),,,,,,,,,,,,,
rear_right_paw (L3),,,,,,,,,,,,,
rear_right_wheel,,,,,,,,,,,,,
rear_left_hip_upper (L1A),,,,,,,,,,,,,
rear_left_hip_lower (L1B),,,,,,,,,,,,,
rear_left_tibia (L2),,,,,,,,,,,,,
rear_left_paw (L3),,,,,,,,,,,,,
rear_left_wheel,,,,,,,,,,,,,
front_right_hip_upper (L1A),,,,,,,,,,,,,
front_right_hip_lower (L1B),,,,,,,,,,,,,
front_right_tibia (L2),,,,,,,,,,,,,
front_right_paw (L3),,,,,,,,,,,,,
front_right_wheel,,,,,,,,,,,,,
front_left_hip_upper (L1A),,,,,,,,,,,,,
front_left_hip_lower (L1B),,,,,,,,,,,,,
front_left_tibia (L2),,,,,,,,,,,,,
front_left_paw (L3),,,,,,,,,,,,,
front_left_wheel,,,,,,,,,,,,,

Joint Name,Type,Lower Limit (rad),Upper Limit (rad),Max Velocity (rad/s),Max Effort (N·m),Damping,Friction,Parent Link,Child Link,Joint X (m),Joint Y (m),Joint Z (m),Joint Roll (rad),Joint Pitch (rad),Joint Yaw (rad)
rear_right_base_hip_upper_joint,revolute,,,,,,,base_link,rear_right_hip_upper,,,,,,
rear_right_hip_upper_lower_joint,revolute,,,,,,,rear_right_hip_upper,rear_right_hip_lower,,,,,,
rear_right_hip_lower_tibia_joint,revolute,,,,,,,rear_right_hip_lower,rear_right_tibia,,,,,,
rear_right_tibia_paw_joint,revolute,,,,,,,rear_right_tibia,rear_right_paw,,,,,,
rear_right_paw_wheel_joint,continuous,N/A,N/A,,,,,rear_right_paw,rear_right_wheel,,,,,,
rear_left_base_hip_upper_joint,revolute,,,,,,,base_link,rear_left_hip_upper,,,,,,
rear_left_hip_upper_lower_joint,revolute,,,,,,,rear_left_hip_upper,rear_left_hip_lower,,,,,,
rear_left_hip_lower_tibia_joint,revolute,,,,,,,rear_left_hip_lower,rear_left_tibia,,,,,,
rear_left_tibia_paw_joint,revolute,,,,,,,rear_left_tibia,rear_left_paw,,,,,,
rear_left_paw_wheel_joint,continuous,N/A,N/A,,,,,rear_left_paw,rear_left_wheel,,,,,,
front_right_base_hip_upper_joint,revolute,,,,,,,base_link,front_right_hip_upper,,,,,,
front_right_hip_upper_lower_joint,revolute,,,,,,,front_right_hip_upper,front_right_hip_lower,,,,,,
front_right_hip_lower_tibia_joint,revolute,,,,,,,front_right_hip_lower,front_right_tibia,,,,,,
front_right_tibia_paw_joint,revolute,,,,,,,front_right_tibia,front_right_paw,,,,,,
front_right_paw_wheel_joint,continuous,N/A,N/A,,,,,front_right_paw,front_right_wheel,,,,,,
front_left_base_hip_upper_joint,revolute,,,,,,,base_link,front_left_hip_upper,,,,,,
front_left_hip_upper_lower_joint,revolute,,,,,,,front_left_hip_upper,front_left_hip_lower,,,,,,
front_left_hip_lower_tibia_joint,revolute,,,,,,,front_left_hip_lower,front_left_tibia,,,,,,
front_left_tibia_paw_joint,revolute,,,,,,,front_left_tibia,front_left_paw,,,,,,
front_left_paw_wheel_joint,continuous,N/A,N/A,,,,,front_left_paw,front_left_wheel,,,,,,
