Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.837491492139643,-0.972075564965408,1.16249858131939,0,0,0,2.08362654858377,0.0301960878113478,2.26221888530585E-18,-3.75267730633379E-10,0.00535275266306519,-2.31046346684137E-07,0.0345230243527963,0,0,0,0,0,0,package://urdf_color/meshes/base_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/base_link.STL,,Body_Part-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_hip,0.00596820108282792,-1.01124529860996E-08,0.0786652074201607,0,0,0,0.0682835197174219,0.000107578043739037,2.86998710912503E-11,1.72663649384204E-05,0.000149860310883397,1.7495454172755E-11,0.000119194202449452,0,0,0,0,0,0,package://urdf_color/meshes/front_right_hip.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/front_right_hip.STL,,FrontRightHip-1,Origin_joint_FR1,Axis_joint_FR1,joint_FR1,continuous,0.93884,-0.73635,1.1289,1.5708,-0.18432,0,base_link,0,0,1,,,,,,,,,,,,
front_right_upperleg,0.00998407447714422,-0.0223613255755287,0.00496781582679107,0,0,0,0.254098162864815,0.000293567664209762,-3.54375139435133E-07,1.26797191503931E-07,0.000209119528586515,-1.77613973143383E-07,0.000253159715027042,0,0,0,0,0,0,package://urdf_color/meshes/front_right_upperleg.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/front_right_upperleg.STL,,FrontRightUpperLeg-1,Origin_joint_FR2,Axis_joint_FR2,joint_FR2,continuous,0,0,0.05,-0.0500381906591324,0,0,front_right_hip,1,0,0,,,,,,,,,,,,
front_right_lowerleg,0.00313707084104298,-0.113584537630757,-0.0424962734293496,0,0,0,0.228830429407258,0.000231457353093082,-5.81151335080877E-09,5.80526485008024E-09,0.000106373345471365,-1.13763339387154E-05,0.000209650487515167,0,0,0,0,0,0,package://urdf_color/meshes/front_right_lowerleg.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/front_right_lowerleg.STL,,FrontRightLowerLeg-1,Origin_joing_FR3,Axis_joing_FR3,joing_FR3,continuous,0,-0.179628169054509,0.00499374175436673,0.150645271248945,0,0,front_right_upperleg,1,0,0,,,,,,,,,,,,
front_right_wheel,0.0653896558154292,-1.38246203373882E-09,1.76539249885366E-09,0,0,0,0.433565938227583,0.000591822035099486,8.32921249512161E-12,-1.07089675469334E-11,0.000403821347600149,3.26475155808562E-11,0.000403821287061979,0,0,0,0,0,0,package://urdf_color/meshes/front_right_wheel.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/front_right_wheel.STL,,FrontRightWheel-1,Origin_joint_FR4,Axis_joint_FR4,joint_FR4,revolute,0.0071802,-0.16,0,1.6105,0,0,front_right_lowerleg,1,0,0,0,0,0,0,,,,,,,,
back_right_hip,0.00596820174941037,-1.03465580547635E-08,0.0786652080445776,0,0,0,0.06828352187583,0.000107578045766239,2.87306283017312E-11,1.7266363795163E-05,0.000149860313070913,1.73076976795885E-11,0.000119194204928831,0,0,0,0,0,0,package://urdf_color/meshes/back_right_hip.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/back_right_hip.STL,,RearRightHip-1,Origin_joint_BR1,Axis_joint_BR1,joint_BR1,continuous,0.938841492139661,-1.03585171058983,1.12887994406759,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
back_right_upperleg,0.00998407455990225,-0.0221112390102158,0.00497407406201256,0,0,0,0.254098163006665,0.000293567664041161,-3.54374182334035E-07,1.26797375602566E-07,0.000209119528716847,-1.77613926325139E-07,0.000253159715046793,0,0,0,0,0,0,package://urdf_color/meshes/back_right_upperleg.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/back_right_upperleg.STL,,RearRightUpperLeg-1,Origin_joint_BR2,Axis_joint_BR2,joint_BR2,continuous,0,0,0.05,0,0,0,back_right_hip,1,0,0,,,,,,,,,,,,
back_right_lowerleg,0.00313707084206749,-0.113584537634935,-0.0424962734400056,0,0,0,0.228830429344515,0.000231457353091744,-5.81151439161659E-09,5.8052619065161E-09,0.000106373345468602,-1.13763339381302E-05,0.000209650487511229,0,0,0,0,0,0,package://urdf_color/meshes/back_right_lowerleg.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/back_right_lowerleg.STL,,RearRightLowerLeg-1,Origin_joint_BR3,Axis_joint_BR3,joint_BR3,continuous,0,-0.179378082493681,0.00500000000132195,0,0,0,back_right_upperleg,1,0,0,,,,,,,,,,,,
back_right_wheel,0.0450289300630089,-1.27669597116409E-09,1.67681291074473E-09,0,0,0,0.433565950722189,0.000591822040064194,7.83411973935718E-12,-1.02894021369263E-11,0.000403821349041375,3.02423575259149E-11,0.000403821293025627,0,0,0,0,0,0,package://urdf_color/meshes/back_right_wheel.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/back_right_wheel.STL,,RearRightWheel-1,Origin_joint_BR4,Axis_joint_BR4,joint_BR4,revolute,0.027541,-0.16,0,0,0,0,back_right_lowerleg,1,0,0,0,0,0,0,,,,,,,,
front_left_hip,-0.00596820174941548,1.03454134148251E-08,0.0786652080445769,0,0,0,0.0682835218758296,0.000107578045766238,2.87306280723311E-11,-1.72663637951629E-05,0.000149860313070912,-1.73076973646683E-11,0.000119194204928831,0,0,0,0,0,0,package://urdf_color/meshes/front_left_hip.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/front_left_hip.STL,,FrontLeftHip-1,Origin_joint_FL1,Axis_joint_FL1,joint_FL1,continuous,0.736141492139659,-0.735851710589763,1.12887994406816,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
front_left_upperleg,-0.00998407455990868,-0.0221112390113303,0.00495165037227874,0,0,0,0.25409816300666,0.000293567664041157,3.54374182333348E-07,-9.6402759296397E-08,0.000209119528716843,-2.68800072303226E-07,0.000253159715046789,0,0,0,0,0,0,package://urdf_color/meshes/front_left_upperleg.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/front_left_upperleg.STL,,FrontLeftUpperLeg-1,Origin_joint_FL2,Axis_joint_FL2,joint_FL2,continuous,0,0,0.05,0,0,0,front_left_hip,1,0,0,,,,,,,,,,,,
front_left_lowerleg,-0.00313707084207038,-0.113584540455344,-0.042496272818598,0,0,0,0.228830429344516,0.000231457353091744,5.80698239952246E-09,-5.80606638398738E-09,0.000106373346469612,-1.13763375269897E-05,0.000209650486510219,0,0,0,0,0,0,package://urdf_color/meshes/front_left_lowerleg.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/front_left_lowerleg.STL,,FrontLeftLowerLeg-1,Origin_joint_FL3,Axis_joint_FL3,joint_FL3,continuous,0,-0.179378082494792,0.00500000000229572,0,0,0,front_left_upperleg,1,0,0,,,,,,,,,,,,
front_left_wheel,-0.0450289300630079,-1.27608035249693E-09,-1.67608993351109E-09,0,0,0,0.433565950722188,0.000591822040064192,-7.83411971939938E-12,-1.02894027464766E-11,0.000403821349041373,-3.02423575271083E-11,0.000403821293025625,0,0,0,0,0,0,package://urdf_color/meshes/front_left_wheel.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/front_left_wheel.STL,,FrontLeftWheel-1,Origin_joint_FL4,Axis_joint_FL4,joint_FL4,revolute,-0.027541,-0.16,0,0,0,0,front_left_lowerleg,1,0,0,0,0,0,0,,,,,,,,
back_left_hip,-0.00596820174938828,1.03465618295218E-08,0.0786652080445767,0,0,0,0.0682835218758282,0.000107578045766237,2.87306286169232E-11,-1.72663637951635E-05,0.00014986031307091,-1.73076977034413E-11,0.00011919420492883,0,0,0,0,0,0,package://urdf_color/meshes/back_left_hip.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://urdf_color/meshes/back_left_hip.STL,,RearLeftHip-1,Origin_joint_BL1,Axis_joint_BL1,joint_BL1,continuous,0.736141492139647,-1.03635171059016,1.12887994406758,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
